source,prediction,reference,sari_score,bleu_score,original_length,simplified_length
"however, the bzo differs a bit in comparison to the freedom party, as is in favor of a referendum about the lisbon treaty but against an eu - withdrawal.","however, the bzo differs a bit in comparison to the freedom party, as is in favor of a referendum about the lisbon treaty but against an eu - withdrawal.","however, the bzo is different from a bit in comparison to the freedom party, as is in kind act of a referendum about the lisbon treaty but against a eu - withdrawal",60.86531986531987,66.37104820137584,29,29
"many species had vanished by the end of the nineteenth century, with european settlement.","many species had disappeared by the end of the nineteenth century, with european settlement.","many species had disappeared by the end of the nineteenth century, with european settlement.",100.0,100.00000000000004,14,14
in 1987 wexler was inducted into the rock and roll hall of fame.,in 1987 wexler was inducted into the rock and roll hall of fame.,in 1987 wexler was inducted into the rock and roll hall of fame.,100.0,100.00000000000004,13,13
"in its pure form, dextromethorphan occurs as a white powder.","in its pure form, dextromethorphan is a white powder.","in its pure form, dextromethorphan lives as a white powder.",53.518249180013875,64.07117598241614,10,9
admission to tsinghua is extremely competitive.,admission to tsinghua is very competitive.,entrance to tsinghua is very very difficult.,61.825396825396815,37.68499164492418,6,6
"today nrc is organised as an independent, private foundation.",today nrc is organised as an independent charity.,today nrc is organised as an independent foundation.,60.67433383609854,75.06238537503395,9,8
"it is situated at the coast of the baltic sea, where it encloses the city of stralsund.",it is located at the coast of the baltic sea.,"it is situated at the coast of the baltic sea, where it encloses the city of stralsund.",17.535005224660395,31.332870318202975,17,10
"he was also named 1982 "" sportsman of the year "" by sports illustrated.",he was also named 1982 sportsman of the year by sports illustrated.,"sports illustrated named him "" sportsman of the year "" in 1982.",31.8001443001443,25.450938600202846,14,12
fives is a british sport believed to derive from the same origins as many racquet sports.,fives is a british sport believed to come from the same origins as many racquet sports.,"fives, a british sport, came from the same games as many racquet sports.",54.216535098888045,36.00565854285029,16,16
"for example, king bhumibol was born on monday, so on his birthday throughout thailand will be decorated with yellow color.","for example, king bhumibol was born on monday, so on his birthday throughout thailand will be decorated with yellow color.",all over thailand the color yellow will be used to celebrate king bhumibal,37.76167471819645,4.334264033674369,20,20
both names became defunct in 2007 when they were merged into the national museum of scotland.,both names became defunct in 2007 when they were merged into the national museum of scotland.,both names are no longer used and were combined as the national musuemof scotland,39.53301127214171,7.158561577277536,16,16
"nevertheless, tagore emulated numerous styles, including craftwork from northern new ireland, haida carvings from the west coast of canada ( british columbia ), and woodcuts by max pechstein.","nevertheless, tagore emulated many styles from northern ireland, haida carvings from the west coast of canada, and woodcuts by max pechstein.","tagore emulated various styles including craftwork from northern new ireland, carvings from the west coast of canada and woodcuts by max pechstein neverthelessly",44.969417413752105,44.45382196580201,28,21
"on october 14, 1960, presidential candidate john f. kennedy proposed the concept of what became the peace corps on the steps of michigan union.","on october 14, 1960, presidential candidate john f. kennedy proposed the concept of what became the peace corps on the steps of michigan union.","john f. kennedy, a presidential candidate, proposed the idea for what became the peace corps on the steps of michigan union on october 14, 1960.",59.18253291654826,58.40258833708879,24,24
"she performed for president reagan in 1988's great performances at the white house series, which aired on the public broadcasting service.",she performed for president reagan in 1988's great performances at the white house series.,"she did a show for president reagan in 1988's great performances at the white house series, which was shown on television on the public broadcasting service.",33.72284092848609,33.90129461925104,21,14
perry saturn ( with terri ) defeated eddie guerrero ( with chyna ) to win the wwf european championship ( 8 : 10 ) saturn pinned guerrero after a diving elbow drop.,"perry saturn defeated eddie guerrero, with chyna pinned guerrero after a diving elbow drop.",perry saturn and terri defeated eddie guerrero and chyna to win the wwf european championship ( 8 : 10 ) saturn pinned guerrero after a diving elbow drop.,32.09318469464721,25.681128033831154,32,14
she remained in the united states until 1927 when she and her husband returned to france.,she stayed in the united states until 1927 when she and her husband returned to france.,she stayed in the united states until 1927 then she and her husband went to france.,72.46031746031747,64.22727797927409,16,16
"despina was discovered in late july, 1989 from the images taken by the voyager 2 probe.","despina was found in late july, 1989 from the images taken by the voyager 2 probe.","despina was discovered in late july, 1989 from the images taken by the voyager 2 probe.",30.786409870461597,85.78928092681431,16,16
the first italian grand prix motor racing championship took place on 4 september 1921 at brescia.,the first italian grand prix motor racing championship took place on 4 september 1921 at brescia.,the first italian grand prix motor racing championship took place on 4 september 1921 at brescia.,100.0,100.00000000000004,16,16
the british decided to eliminate him and take the land by force.,the british decided to eliminate him and take the land by force.,the british decided to put an end to him and take the land by force.,62.147649261493655,60.43026468442617,12,12
"some towns on the eyre highway in the south - east corner of western australia, between the south australian border almost as far as caiguna, do not follow official western australian time.","some towns on the eyre highway, between the south australian border almost as far as caiguna, do not follow official western australian time.",there are some towns in western australia that do not follow official western australian time.,45.2768010737443,28.59826603326731,32,23
"in architectural decoration small pieces of colored and iridescent shell have been used to create mosaics and inlays, which have been used to decorate walls, furniture and boxes.","in architectural decoration small pieces of colored and iridescent shell have been used to create mosaics and inlays, which are used to decorate walls, furniture and boxes.","small pieces of colored and shiny shell has been used to decorate walls, furniture and boxes.",43.2137383875052,40.84380929501578,28,27
"the other incorporated cities on the palos verdes peninsula include rancho palos verdes, rolling hills estates and rolling hills.",palos verdes is a city of california in the united states.,"rancho palos verdes, rolling hills estates and rolling hills are three cities on the palos verdes peninsula.",15.504037872458923,4.4946920642205725,19,11
"fearing that drek will destroy the galaxy, clank asks ratchet to help him find the famous superhero captain qwark, in an effort to stop drek.",clank asks ratchet to help him find the famous superhero captain qwark.,clank asks ratchet to help him find the famous superhero captain qwark because he is afraid that drek will try to destroy the galaxy and wants to stop him.,53.951571077796565,25.16759766421848,25,12
it is not actually a true louse.,it is not actually a true louse.,it's not actually a true louse.,60.33730158730158,68.037493331712,7,7
he advocates applying a user - centered design process in product development cycles and also works towards popularizing interaction design as a mainstream discipline.,he advocates applying a user - centered design process in product development cycles and also works towards popularizing interaction as a mainstream discipline.,he favors product development cycles that features an easy to use design process and works towards bringing interaction design into mainstream popuarity.,29.651675485008816,9.84934946888872,24,23
"it is theoretically possible that the other editors who may have reported you, and the administrator who blocked you, are part of a conspiracy against someone half a world away they've never met in person.","it is possible that the other editors who may have reported you, and the administrator who blocked you, are part of a conspiracy against someone half a world away.",it is possible that the other editors who may have reported you is a part of the conspiracy. similarly the administrator who blocked you may also be a part of the conspiracy. the conspiracy is against someone they have not met in prison.,54.31168233883943,33.259803177415236,35,29
working group i : assesses scientific aspects of the climate system and climate change.,working group i : assesses scientific aspects of the climate system and climate change.,working group i : makes note of climate system and climate change,53.373590982286636,42.311785416105785,14,14
"the island chain forms part of the hebrides, separated from the scottish mainland and from the inner hebrides by the stormy waters of the minch, the little minch and the sea of the hebrides.","the island chain forms part of the hebrides, separated from the scottish mainland and from the stormy waters of the minch, the little minch and the sea of the webrides.","the island chain forms part of the hebrides, separated from the scottish mainland and from the inner hebrides by the stormy waters of the minch, the little minch and the sea of the hebrides.",29.934855804421023,81.36210591670049,34,30
"orton and his wife welcomed alanna marie orton on july 12, 2008.","orton and his wife welcomed alanna orton on july 12, 2008.","orton and his wife greeted alanna marie orton on july 12, 2008.",33.86199392296953,63.436083375358535,12,11
"formal minor planet designations are number - name combinations overseen by the minor planet center, a branch of the iau.",formal minor planet designations are number - name combinations overseen by the iau.,formal minor planet designations are number - name combinations overseen by the minor planet center.,57.19686948853615,74.16367431893484,20,13
"by early on september 30, wind shear began to dramatically increase and a weakening trend began.","by early on september 30, wind shear began to increase and a weakening trend began.","by early on september 30, wind shear began to dramatically increase and a weakening trend began.",38.76361784766957,84.28014430784187,16,15
each entry has a datum ( a nugget of data ) which is a copy of the datum in some backing store.,each entry has a datum - a nugget of data in some backing store.,each entry has a datum ( a nugget of data ) which is a copy of the datum in some backing store.,19.792896344620484,38.6309582528584,22,14
"as a result, although many mosques will not enforce violations, both men and women when attending a mosque must adhere to these guidelines.","although many mosques will not enforce violations, both men and women when attending a mosque must adhere to these guidelines.","although many mosques will not enforce rules, both men and women when there must follow these rules",51.86973032940775,44.23193362467972,23,20
"ryan prosser ( born 10 july, 1988 ) is a professional rugby union player for bristol rugby in the guinness premiership.",ryan prosser - lrb - born 10 july 1988 - rrb - is a rugby union player for bristol rugby in the guinness premiership.,"ryan prosser who was born on 10 july, 1988 is a professional rugby union player, he has played for briston rugby in the guinness premiership.",39.56744727829065,27.236428704538962,21,24
"like previous assessment reports, it consists of four reports, three of them from its working groups.","like previous assessment reports, it consists of four reports, three of them from its working groups.","the assessment report contiains four reports, just like previous reports, and three of them are from working groups.",48.004385964912274,18.877921034878764,16,16
"their granddaughter helene langevin - joliot is a professor of nuclear physics at the university of paris, and their grandson pierre joliot, who was named after pierre curie, is a noted biochemist.",their granddaughter helene langevin - joliot is a professor of nuclear physics at the university of paris.,"their granddaughter helene langevin - joliot is a professor of nuclear physics at the university of paris, and their grandson pierre joliot, who was named after pierre curie, is a noted biochemist.",29.184226882242253,35.04493805540866,32,17
"this stamp remained the standard letter stamp for the remainder of victoria's reign, and vast quantities were printed.","this stamp remained the standard letter stamp for the remainder of victoria's reign, and vast quantities were printed.","this stamp stayed the standard letter stamp for the rest of victoria's reign, and many were printed.",55.99269681930973,50.69487414732324,18,18
the international fight league was an american mixed martial arts ( mma ) promotion billed as the world's first mma league.,the international fight league was a professional mma - lrb - mma - rrb - promotion that was owned by world wrestling entertainment.,"the world's first mma league was the international fight league, and american mixed martial arts.",36.348024886058994,12.173115521158184,21,23
"giardia lamblia ( synonymous with lamblia intestinalis and giardia duodenalis ) is a flagellated protozoan parasite that colonises and reproduces in the small intestine, causing giardiasis.","giardia lamblia - lrb - also called lamblia intestinalis - rrb - is a flagellated protozoan parasite that colonises and reproduces in the small intestine, causing giardiasis.","giardia lamblia is a flagellated protozoan parasite that colonises and reproduces in the small intestine, causing giardiasis.",63.722943722943725,58.7329978842779,26,27
"aside from this, cameron has often worked in christian - themed productions, among them the post - rapture films left behind : the movie, left behind ii : tribulation force, and left behind : world at war, in which he plays cameron "" buck "" williams.","cameron has often worked in christian - themed productions, among them the post - raption films left behind : the movie, left behind ii : tribulation, in which he plays cameron ` ` buck'' williams.","aside from this, cameron usually worked in christian - themed productions, among them the post - rapture films left behind : the movie, left behind ii : tribulation force, and left behind : world at war, in which he plays cameron "" buck "" williams.",23.9683669591609,51.23402176581814,46,35
"this was the area east of the mouth of the vistula river, later sometimes called "" prussia proper "".","this was the area east of the mouth of the vistula river, later sometimes called prussia proper.","this area, which later was sometimes called "" prussia proper "", was east of the place where the vistula river begins.",20.08556383224965,13.776250595890922,19,17
after graduation he returned to yerevan to teach at the local conservatory and later he was appointed artistic director of the armenian philarmonic orchestra.,after graduation he returned to yerevan to teach at the local conservatory and later he became artistic director of the armenian philarmonic orchestra.,fter graduation he came back to yerevan to teach at the local conservatory and then he was appointed artistic director of the armenian philarmonic orchestra.,31.509062781568403,59.88044702245784,24,23
"the story of christmas is based on the biblical accounts given in the gospel of matthew, namely - and the gospel of luke, specifically -.","the story of christmas is based on the biblical accounts given in the gospel of matthew, namely - lrb - and - rrb - - - gospel of luke.","the story of christmas is based on the biblical accounts given in the gospel of matthew, namely - and the gospel of luke, specifically -.",28.47554874562468,66.89261952806771,25,29
weelkes was later to find himself in trouble with the chichester cathedral authorities for his heavy drinking and immoderate behaviour.,weelkes was later to find himself in trouble with the chichester cathedral authorities for his heavy drinking and immoderate behaviour.,weelkes later found himself in trouble with the chichester cathedral authorities for his heavy drinking and immoderate behavior.,60.12858223355268,67.13093593153823,20,20
"so far the'celebrity'episodes have included vic reeves, nancy sorrell, gaby roslin, scott mills, mark chapman, simon gregson, sue cleaver, carol thatcher, paul o'grady and lee ryan.","so far the celebrity episodes have included vic reeves, nancy sorrell, gaby roslin, mark chapman, simon gregson, sueton, paul o'grady, carol thatcher and lee ryan.","until now the'celebrity'chapters have shown vic reeves, nancy sorrell, gaby roslin, scott mills, mark chapman, simon gregson, sue cleaver, carol thatcher, paul o'grady and lee ryan.",30.137709937531355,52.640345764730775,26,25
"it was discovered by stephen p. synnott in images from the voyager 1 space probe taken on march 5, 1979 while orbiting around jupiter.",it was found by stephen p. synnott in images from the voyager 1 space probe taken by orbiting around jupiter.,"it was found by stephen p. synnott in images from the voyager 1 space probe taken on march 5, 1979 while orbiting around jupiter.",58.5418665522059,69.51340858736566,24,20
"gomaespuma was a spanish radio show, hosted by juan luis cano and guillermo fesser.",gomaespuma was a spanish radio show hosted by juan luis cano and guillermo fesser.,gomaespuma was a spanish radio show hosted by juan luis cano and guillermo fesser.,100.0,100.00000000000004,14,14
"on 16 june 2009, the official release date of the resistance was announced on the band's website.","on 16 june 2009, the official release of the resistance was announced on the band's website.",on june 16 2009 the official release date of the resistance was announced on the band's website.,33.320667082632255,63.28668854426896,17,16
he is also a member of another jungiery boyband 183 club.,he is also a member of another jungier boyband 183 club.,"he is also a member of 183 club, which is another jungiery boyband.",39.54781187837453,39.57341821670387,11,11
"in return, rollo swore fealty to charles, converted to christianity, and undertook to defend the northern region of france against the incursions of other viking groups.","rollo swore fealty to charles, converted to christianity, and swore to defend the northern region of france against the incursions of other viking groups.","rollo swore fealty to charles, changed to christianity, and undertook to standby the northern region of france against the incursions of other viking groups.",49.076054066730485,72.16597075217096,26,24
it is derived from voice of america ( voa ) special english.,it is derived from voice of america - lrb - voa - rrb -.,it comes from voice of america ( voa ) special english.,13.245920745920747,18.92240568795936,12,14
"disney received a full - size oscar statuette and seven miniature ones, presented to him by 10 - year - old child actress shirley temple.","disney received a full - size oscar statuette and seven miniature ones, presented by 10 - year - old child actress shirley temple.","disney got a full - size oscar statuette and seven miniature ones, given to him by 10 - year - old child actress shirley temple.",41.513703387286014,75.02717245089075,25,23
it was the first asteroid to be discovered by a spacecraft.,it was the first asteroid to be found by a spacecraft.,it was the first asteroid discovered by a spacecraft.,41.943636428930546,53.107253497886994,11,11
"hinterrhein is an administrative district in the canton of graubunden, switzerland.","hinterrhein is a district in the canton of graubunden, switzerland.","hinterrhein is an governmental district in the canton of graubunden, switzerland.",56.282418001525556,70.76618839098694,11,10
it continues as the bohemian switzerland in the czech republic.,it continues as the bohemian switzerland in the czech republic.,it is still called as the bohemian switzerland in the czech republic.,63.07000139236981,67.28850678464079,10,10
"this leads to consumer confusion when 220 ( 1, 048, 576 ) bytes is referenced as 1 mb ( megabyte ) instead of 1 mib.","this leads to consumer confusion when 2200, 576, 578 bytes is referenced as 1 mb - lrb - 1 mib - rrb -.","the consumer gets confused when 220 bytes is called 1 mb, instead of 1mib.",34.69173441734417,4.8589719316429765,25,23
the incident has been the subject of numerous reports as to ethics in scholarship.,the incident has been the subject of numerous reports as to ethics in scholarship.,the incident has been the subject of numerous reports regarding scholarship ethics.,58.11616161616162,59.230330720232516,14,14
they are castrated so that the animal may be more docile or may put on weight more quickly.,they are castrated so that the animal may be more docile or may put on weight more quickly.,they are castrated so that the animal is docile or may put on weight quickly.,58.51365220930439,59.08871032231054,18,18
"seventh sons have strong "" knacks "" ( specific magical abilities ), and seventh sons of seventh sons are both extraordinarily rare and powerful.","seventh sons have strong magical abilities, and seventh sons of seventh sons are both extraordinarily rare.","seventh sons have strong "" knacks "" ( specific magical abilities ), and he is extraordinarily rare and powerful.",11.757228740544,17.42921800512336,24,16
"benchmarking conducted by passmark software highlights the 2009 version's 52 second install time, 32 second scan time, and 7 mb memory utilization.","benchmarking conducted by passmark software highlights the 2009 version's 52 second install time, 32 second scan time, and 7 mb memory utilization.","passmark software tested standards of 2009 version and the highlights are 52 second install time, 32 second scan time and 7mb memory utilization.",53.318606659482924,42.06308920964751,22,22
volterra is a town in the tuscany region of italy.,volterra is a town in the tuscany region of italy.,volterra is a town in the tuscany area of italy.,60.899470899470906,70.16879391277372,10,10
"historically, the sensations of itch and pain have not been considered to be independent of each other until recently, where it was found that itch has several features in common with pain, but exhibits notable differences.","the sensations of itch and pain have been considered to be independent of each other, where itch has several features in common with pain.","historically, the sensations of itch and pain have not been considered to be independent of each other until recently, where it was found that itch has several features in common with pain, but exhibits notable differences.",30.459001782531196,45.27708060698233,36,24
"the tongue is sticky because of the presence of glycoprotein - rich mucous, which both lubricates movement in and out of the snout and helps to catch ants and termites, which adhere to it.","the tongue is sticky because of the presence of glycoprotein - rich mucous, which both lubricates movement in and out of the snout and helps to catch ants and termites.","the tongue is sticky because of the presence of glycoprotein - rich mucous, which both oils movement in and out of the beak and helps to catch ants and termites, which sticks to it.",42.524841479908666,68.68262173851575,34,30
the same tram had derailed on 30 may 2006 at starr gate loop during previous trials.,the same tram had derailed on 30 may 2006 at starr gate loop.,the same team had derailed on 30 may 2006 at starr gate loop during previous trials.,24.98513563730955,59.88367045905582,16,13
"there are statues of sir alf ramsey and sir bobby robson, both former ipswich town and england managers, outside the ground.","there are statues of sir alf ramsey and sir bobby robson, both former ipswich town and england national football team.","there are statues of sir alf ramsey and sir bobby robson, both former ipswich town and england managers, outside the ground.",28.40966272269822,74.43303564463133,21,20
take the square root of the variance.,"take the square root of the variance, then.",take the square root of the variance.,39.34213934213934,66.06328636027612,7,8
"volunteers provided food, blankets, water, children's toys, massages, and a live rock band performance for those at the stadium.","volunteers provided food, blankets, water, children's toys, massages, and a live rock band performance for those at the stadium.","volunteers provided food, blankets, water, children's toys, massages and a live rock band performance for those at the stadium.",73.18308006895627,88.95260356363632,19,19
vouvray - sur - huisne is a commune in the sarthe department in the region of pays - de - la - loire in northwestern france.,it is found in the region pays de la loire in the sarthe department in the west of france.,vouvray - sur - huisne is a community in the sarthe department in the area of pays - de - la - loire in northwestern france.,23.174667687970977,22.735960802067652,26,19
"if there are no strong land use controls, buildings are built along a bypass, converting it into an ordinary town road, and the bypass may eventually become as congested as the local streets it was intended to avoid.","if there are no strong land use controls, buildings are built along a bypass, converting it into an ordinary town road, and the bypass may become as congested as the local streets it was intended to avoid.","if there are no strong land use controls the bypass, as a result, may become congested. this is because buildings are built along a bypass converting it into an ordinary town road. the byepass is intended to avoid such congestion.",56.97977914123536,45.22033643819695,38,37
"it is also a starting point for people wanting to explore cooktown, cape york peninsula, and the atherton tableland.","it is also a starting point for people wanting to explore cooktown, cape york peninsula, and the atherton tableland.","it is a starting point for people wanting to explore cooktown, cape york peninsula and atherton tableland.",68.4141447208885,66.43548861507487,19,19
bruises often induce pain but are not normally dangerous.,bruises often induce pain but are not normally dangerous.,bruises often hurt but are not normally dangerous.,57.96296296296296,58.14307369682194,9,9
"none of the authors, contributors, sponsors, administrators, vandals, or anyone else connected with wikipedia, in any way whatsoever, can be responsible for your use of the information contained in or linked from these web pages.","none of the authors, contributors, sponsors, administrators, vandals, or anyone else connected with wikipedia, can be responsible for your use of the information contained in or linked from these web pages.","none of the authors, contributors, sponsors, administrators, vandals, or anyone else connected with wikipedia, in any way whatsoever, can be responsible for your use of the information contained in or linked from these web pages.",47.501189052648414,85.78450487930759,35,31
"george frideric handel also served as kapellmeister for george, elector of hanover ( who eventually became george i of great britain ).","george frideric handel also served as kapellmeister for george, elector of hanover, who eventually became george i of great britain.","george frideric handel also served as choirmaster for george, the elector of hanover, who eventually became george i of great britain.",76.14567662543675,76.57333874751522,22,20
"their eyes are quite small, and their visual acuity is poor.","their eyes are quite small, and their visual acuity is poor.","their eyes are quite small, and their visual acuity is poor.",100.0,100.00000000000004,11,11
they are rivaled as biological materials in toughness only by chitin.,they are rivaled as biological materials in toughness only by chitin.,they are rivaled as biological materials in toughness only by chitin.,100.0,100.00000000000004,11,11
oregano is an indispensable ingredient in greek cuisine.,oregano is an ingredient in greek cuisine.,oregano is a necessary ingredient in greek cuisine.,64.16305916305916,52.47357977607325,8,7
"tickets can be retailed for national rail services, the docklands light railway and on oyster card.","tickets can be bought for national rail services, the docklands light railway and on oyster card.",tickets can be retailed for national rail services and the docklands light railway on oyster card.,22.240997848414725,47.364158261679506,16,16
"these works he produced and published himself, whilst his much larger woodcuts were mostly commissioned work.","these works he produced himself, while his much larger woodcuts were mostly commissioned work.","these works he produced and published himself, whilst his much bigger woodcuts were mostly outsourced work.",17.106937370307488,25.655541222096613,16,14
the historical method comprises the techniques and guidelines by which historians use primary sources and other evidence to research and then to write history.,the historical method is the techniques and guidelines by which historians use primary sources and other evidence to research and then to write history.,"in writing history, there is a method called the historical method which uses primary sources and other evidence to research the historical events.",52.51636379908631,31.20848453730729,24,24
"as of 2000, the population was 89, 148.","as of 2000, the population was 89, 148.","in the year 2000, the population was 89, 148.",62.58267195767196,71.77659214467671,8,8
aliteracy ( sometimes spelled alliteracy ) is the state of being able to read but being uninterested in doing so.,aliteracy is the state of being able to read but being uninterested in doing so.,aliteracy is being able to read but uninterested in read.,60.798946771691135,30.130404892785695,20,15
mifepristone is a synthetic steroid compound used as a pharmaceutical.,mifepristone is a synthetic steroid.,pharmaceutical has used a mifepristone is a synthetic steroid,59.285714285714285,46.08636396914616,10,5
it will then dislodge itself and sink back to the river bed in order to digest its food and wait for its next meal.,"it will then dislodge itself and sink back to the river bed, to digest its food and wait for its next meal.",it will then dislodge itself and sink back to the river bed in order to digest its food and wait for its next meal.,30.56852869352869,84.82942955247805,24,22
"furthermore, research has shown children are less likely to report a crime if it involves someone that he or she knows, trusts, and / or cares about.","furthermore, research has shown children are less likely to report a crime if it involves someone that he or she knows, trusts, and cares about.","furthermore, research has shown children are less likely to report a crime if it involves someone that he or she knows, trusts, and / or cares about.",39.51601498299125,87.98988959368486,27,25
"today, landis'father has become a hearty supporter of his son and regards himself as one of floyd's biggest fans.","today, landis'father is a hearty supporter of his son and regards himself as one of floyd's biggest fans.",landis'father has become a supporter of his son and regards himself as one of floyd's biggest fans.,38.797333737823166,69.7080703419192,19,18
"shortly after attaining category 4 status, the outer convection of the hurricane became ragged.","shortly after reaching category 4 strength, the outer convection of the hurricane became ragged.","shortly after reaching category 4 status, the outer convection of the hurricane became worn out",57.35637408911066,67.39047062564734,14,14
the equilibrium price for a certain type of labor is the wage.,the price of a certain type of labor is the wage.,the balanced price for any kind of labor is called a wage.,40.112994350282484,16.40212036255558,12,11
"convinced that the grounds were haunted, they decided to publish their findings in a book an adventure ( 1911 ), under the pseudonyms of elizabeth morison and frances lamont.","convinced that the grounds were haunted, they decided to publish their findings in a book called elizabeth morison and frances lamont.","the authors, using pseudonyms elizabeth morison and frances lamont, published the book an adventure, in 1911, written about particular hauntings.",37.19838397469976,16.804984686722463,29,21
"he settled in london, devoting himself chiefly to practical teaching.","he settled in london, devoting himself mostly to practical teaching.",he teaches in london.,39.44444444444444,8.054496384843702,10,10
"brunstad has several fast food restaurants, a cafeteria - style restaurant, coffee bar, and its own grocery store.","brunstad has several fast food restaurants, a cafeteria, coffee bar, and its own grocery store.","brunstad has many fast food restaurants, a cafeteria - style restaurant, coffee bar, and its own grocery shop.",24.08199587449895,56.38310643573385,18,15
"he left a detachment of 11, 000 troops to garrison the newly conquered region.","he left a detachment of 11, 000 troops to garrison the newly conquered region.","he left 11, 000 troops to garrison the newly conquered region.",69.06015856540594,69.67812829199794,14,14
"in 1438 trevi passed under the temporal rule of the church as part of the legation of perugia, and thenceforth its history merges first with that of the states of the church, then ( 1860 ) with the united kingdom of italy.","in 1438 trevi passed under the temporal rule of the church as part of the legation of perugia, and thenceforth its history merges first with that of the states of italy.","in 1438 trevi passed under the time - limited rule of the church as part of the place for political statements of perugia, and thenceforth its history goes into together first with that of the states of the church, then ( 1860 ) with the united kingdom of italy",22.971543149363935,40.40614149401612,42,31
"the depression moved inland on the 20th as a circulation devoid of convection, and dissipated the next day over brazil, where it caused heavy rains and flooding.","the depression moved inland on the 20th as a circulation devoid of convection, and dissipated over brazil, where it caused heavy rains and flooding.",on 20th depression moved inland as convection less circulation and after weakening over brazil it caused heavy rains and flooding.,50.770609673642376,30.996272724805532,27,24
the new york city housing authority police department was a law enforcement agency in new york city that existed from 1952 to 1995.,"the new york city housing authority police department was a law enforcement agency in new york, united states.",the new york city housing authority police department was a law enforcement agency in new york city from 1952 to 1995.,44.05169782324954,71.91958755546909,23,18
