source,original_prediction,post_processed,reference,original_sari,improved_sari,original_bleu,improved_bleu
admission to tsinghua is extremely competitive.,admission to tsinghua is very competitive.,Admission to tsinghua is very competitive.,entrance to tsinghua is very very difficult.,61.825396825396815,61.825396825396815,37.68499164492418,37.68499164492418
"today nrc is organised as an independent, private foundation.",today nrc is organised as an independent charity.,Today nrc is organised as an independent charity.,today nrc is organised as an independent foundation.,60.67433383609854,60.67433383609854,75.06238537503395,61.04735835807847
"it is situated at the coast of the baltic sea, where it encloses the city of stralsund.",it is located at the coast of the baltic sea.,It is located at the coast of the baltic sea. city.,"it is situated at the coast of the baltic sea, where it encloses the city of stralsund.",17.535005224660395,17.8989898989899,31.332870318202975,32.41323542425451
"he was also named 1982 "" sportsman of the year "" by sports illustrated.",he was also named 1982 sportsman of the year by sports illustrated.,He was also named 1982 sportsman of the year by sports illustrated.,"sports illustrated named him "" sportsman of the year "" in 1982.",31.8001443001443,31.8001443001443,25.450938600202846,25.450938600202846
fives is a british sport believed to derive from the same origins as many racquet sports.,fives is a british sport believed to come from the same origins as many racquet sports.,Fives is a british sport believed to come from the same origins as many racquet sports.,"fives, a british sport, came from the same games as many racquet sports.",54.216535098888045,54.216535098888045,36.00565854285029,35.23089031737454
"for example, king bhumibol was born on monday, so on his birthday throughout thailand will be decorated with yellow color.","for example, king bhumibol was born on monday, so on his birthday throughout thailand will be decorated with yellow color.","For example, king bhumibol was born on monday, so on his birthday throughout thailand will be decorated with yellow color.",all over thailand the color yellow will be used to celebrate king bhumibal,37.76167471819645,37.76167471819645,4.334264033674369,4.334264033674369
both names became defunct in 2007 when they were merged into the national museum of scotland.,both names became defunct in 2007 when they were merged into the national museum of scotland.,Both names became defunct in 2007 when they were merged into the national museum of scotland.,both names are no longer used and were combined as the national musuemof scotland,39.53301127214171,39.53301127214171,7.158561577277536,5.751391809950023
"nevertheless, tagore emulated numerous styles, including craftwork from northern new ireland, haida carvings from the west coast of canada ( british columbia ), and woodcuts by max pechstein.","nevertheless, tagore emulated many styles from northern ireland, haida carvings from the west coast of canada, and woodcuts by max pechstein.","Nevertheless, tagore emulated many styles from northern ireland, haida carvings from the west coast of canada, and woodcuts by max pechstein. new ireland british columbia.","tagore emulated various styles including craftwork from northern new ireland, carvings from the west coast of canada and woodcuts by max pechstein neverthelessly",44.969417413752105,44.80387005368385,44.45382196580201,37.80850935680654
"on october 14, 1960, presidential candidate john f. kennedy proposed the concept of what became the peace corps on the steps of michigan union.","on october 14, 1960, presidential candidate john f. kennedy proposed the concept of what became the peace corps on the steps of michigan union.","On october 14, 1960, presidential candidate john f. kennedy proposed the concept of what became the peace corps on the steps of michigan union.","john f. kennedy, a presidential candidate, proposed the idea for what became the peace corps on the steps of michigan union on october 14, 1960.",59.18253291654826,59.18253291654826,58.40258833708879,54.69015371950583
"she performed for president reagan in 1988's great performances at the white house series, which aired on the public broadcasting service.",she performed for president reagan in 1988's great performances at the white house series.,She performed for president reagan in 1988's great performances at the white house series.,"she did a show for president reagan in 1988's great performances at the white house series, which was shown on television on the public broadcasting service.",33.72284092848609,33.72284092848609,33.90129461925104,33.27898810450958
perry saturn ( with terri ) defeated eddie guerrero ( with chyna ) to win the wwf european championship ( 8 : 10 ) saturn pinned guerrero after a diving elbow drop.,"perry saturn defeated eddie guerrero, with chyna pinned guerrero after a diving elbow drop.","Perry saturn defeated eddie guerrero, with chyna pinned guerrero after a diving elbow drop. 8 10 championship.",perry saturn and terri defeated eddie guerrero and chyna to win the wwf european championship ( 8 : 10 ) saturn pinned guerrero after a diving elbow drop.,32.09318469464721,33.214136995690396,25.681128033831154,29.09369364862917
she remained in the united states until 1927 when she and her husband returned to france.,she stayed in the united states until 1927 when she and her husband returned to france.,She stayed in the united states until 1927 when she and her husband returned to france.,she stayed in the united states until 1927 then she and her husband went to france.,72.46031746031747,72.46031746031747,64.22727797927409,57.30574043798692
"despina was discovered in late july, 1989 from the images taken by the voyager 2 probe.","despina was found in late july, 1989 from the images taken by the voyager 2 probe.","Despina was found in late july, 1989 from the images taken by the voyager 2 probe.","despina was discovered in late july, 1989 from the images taken by the voyager 2 probe.",30.786409870461597,30.786409870461597,85.78928092681431,83.05389167974835
the first italian grand prix motor racing championship took place on 4 september 1921 at brescia.,the first italian grand prix motor racing championship took place on 4 september 1921 at brescia.,The first italian grand prix motor racing championship took place on 4 september 1921 at brescia.,the first italian grand prix motor racing championship took place on 4 september 1921 at brescia.,100.0,100.0,100.00000000000004,93.51334836242394
the british decided to eliminate him and take the land by force.,the british decided to eliminate him and take the land by force.,The british decided to eliminate him and take the land by force.,the british decided to put an end to him and take the land by force.,62.147649261493655,62.147649261493655,60.43026468442617,53.21997734504007
"some towns on the eyre highway in the south - east corner of western australia, between the south australian border almost as far as caiguna, do not follow official western australian time.","some towns on the eyre highway, between the south australian border almost as far as caiguna, do not follow official western australian time.","Some towns on the eyre highway, between the south australian border almost as far as caiguna, do not follow official western australian time. western australia.",there are some towns in western australia that do not follow official western australian time.,45.2768010737443,48.550292844410485,28.59826603326731,26.087213732293563
"in architectural decoration small pieces of colored and iridescent shell have been used to create mosaics and inlays, which have been used to decorate walls, furniture and boxes.","in architectural decoration small pieces of colored and iridescent shell have been used to create mosaics and inlays, which are used to decorate walls, furniture and boxes.","In architectural decoration small pieces of colored and iridescent shell have been used to create mosaics and inlays, which are used to decorate walls, furniture and boxes.","small pieces of colored and shiny shell has been used to decorate walls, furniture and boxes.",43.2137383875052,43.2137383875052,40.84380929501578,40.84380929501578
"the other incorporated cities on the palos verdes peninsula include rancho palos verdes, rolling hills estates and rolling hills.",palos verdes is a city of california in the united states.,Palos verdes is a city of california in the united states. cities.,"rancho palos verdes, rolling hills estates and rolling hills are three cities on the palos verdes peninsula.",15.504037872458923,16.23636110478216,4.4946920642205725,2.8099817702511314
"fearing that drek will destroy the galaxy, clank asks ratchet to help him find the famous superhero captain qwark, in an effort to stop drek.",clank asks ratchet to help him find the famous superhero captain qwark.,Clank asks ratchet to help him find the famous superhero captain qwark. drek galaxy drek.,clank asks ratchet to help him find the famous superhero captain qwark because he is afraid that drek will try to destroy the galaxy and wants to stop him.,53.951571077796565,54.27122550883175,25.16759766421848,30.16897383369133
it is not actually a true louse.,it is not actually a true louse.,It is not actually a true louse.,it's not actually a true louse.,60.33730158730158,60.33730158730158,68.037493331712,68.037493331712
he advocates applying a user - centered design process in product development cycles and also works towards popularizing interaction design as a mainstream discipline.,he advocates applying a user - centered design process in product development cycles and also works towards popularizing interaction as a mainstream discipline.,He advocates applying a user - centered design process in product development cycles and also works towards popularizing interaction as a mainstream discipline.,he favors product development cycles that features an easy to use design process and works towards bringing interaction design into mainstream popuarity.,29.651675485008816,29.651675485008816,9.84934946888872,9.637411586929977
"it is theoretically possible that the other editors who may have reported you, and the administrator who blocked you, are part of a conspiracy against someone half a world away they've never met in person.","it is possible that the other editors who may have reported you, and the administrator who blocked you, are part of a conspiracy against someone half a world away.","It is possible that the other editors who may have reported you, and the administrator who blocked you, are part of a conspiracy against someone half a world away.",it is possible that the other editors who may have reported you is a part of the conspiracy. similarly the administrator who blocked you may also be a part of the conspiracy. the conspiracy is against someone they have not met in prison.,54.31168233883943,54.31168233883943,33.259803177415236,31.03605769800913
working group i : assesses scientific aspects of the climate system and climate change.,working group i : assesses scientific aspects of the climate system and climate change.,Working group i : assesses scientific aspects of the climate system and climate change.,working group i : makes note of climate system and climate change,53.373590982286636,53.373590982286636,42.311785416105785,33.88714363186177
"the island chain forms part of the hebrides, separated from the scottish mainland and from the inner hebrides by the stormy waters of the minch, the little minch and the sea of the hebrides.","the island chain forms part of the hebrides, separated from the scottish mainland and from the stormy waters of the minch, the little minch and the sea of the webrides.","The island chain forms part of the hebrides, separated from the scottish mainland and from the stormy waters of the minch, the little minch and the sea of the webrides.","the island chain forms part of the hebrides, separated from the scottish mainland and from the inner hebrides by the stormy waters of the minch, the little minch and the sea of the hebrides.",29.934855804421023,29.934855804421023,81.36210591670049,78.53936652709218
"orton and his wife welcomed alanna marie orton on july 12, 2008.","orton and his wife welcomed alanna orton on july 12, 2008.","Orton and his wife welcomed alanna orton on july 12, 2008.","orton and his wife greeted alanna marie orton on july 12, 2008.",33.86199392296953,33.86199392296953,63.436083375358535,54.844980922047604
"formal minor planet designations are number - name combinations overseen by the minor planet center, a branch of the iau.",formal minor planet designations are number - name combinations overseen by the iau.,Formal minor planet designations are number - name combinations overseen by the iau.,formal minor planet designations are number - name combinations overseen by the minor planet center.,57.19686948853615,57.19686948853615,74.16367431893484,67.1312968442336
"by early on september 30, wind shear began to dramatically increase and a weakening trend began.","by early on september 30, wind shear began to increase and a weakening trend began.","By early on september 30, wind shear began to increase and a weakening trend began.","by early on september 30, wind shear began to dramatically increase and a weakening trend began.",38.76361784766957,38.76361784766957,84.28014430784187,78.09325628873462
each entry has a datum ( a nugget of data ) which is a copy of the datum in some backing store.,each entry has a datum - a nugget of data in some backing store.,Each entry has a datum - a nugget of data in some backing store.,each entry has a datum ( a nugget of data ) which is a copy of the datum in some backing store.,19.792896344620484,19.792896344620484,38.6309582528584,33.87003527531933
"as a result, although many mosques will not enforce violations, both men and women when attending a mosque must adhere to these guidelines.","although many mosques will not enforce violations, both men and women when attending a mosque must adhere to these guidelines.","Although many mosques will not enforce violations, both men and women when attending a mosque must adhere to these guidelines.","although many mosques will not enforce rules, both men and women when there must follow these rules",51.86973032940775,51.86973032940775,44.23193362467972,39.080227521872686
"ryan prosser ( born 10 july, 1988 ) is a professional rugby union player for bristol rugby in the guinness premiership.",ryan prosser - lrb - born 10 july 1988 - rrb - is a rugby union player for bristol rugby in the guinness premiership.,"Ryan prosser - lrb - born 10 july 1988 - rrb - is a rugby union player for bristol rugby in the guinness premiership. 10 july, 1988.","ryan prosser who was born on 10 july, 1988 is a professional rugby union player, he has played for briston rugby in the guinness premiership.",39.56744727829065,46.76932291009961,27.236428704538962,30.300203366197277
"like previous assessment reports, it consists of four reports, three of them from its working groups.","like previous assessment reports, it consists of four reports, three of them from its working groups.","Like previous assessment reports, it consists of four reports, three of them from its working groups.","the assessment report contiains four reports, just like previous reports, and three of them are from working groups.",48.004385964912274,48.004385964912274,18.877921034878764,17.945905336401147
"their granddaughter helene langevin - joliot is a professor of nuclear physics at the university of paris, and their grandson pierre joliot, who was named after pierre curie, is a noted biochemist.",their granddaughter helene langevin - joliot is a professor of nuclear physics at the university of paris.,Their granddaughter helene langevin - joliot is a professor of nuclear physics at the university of paris. pierre curie grandson.,"their granddaughter helene langevin - joliot is a professor of nuclear physics at the university of paris, and their grandson pierre joliot, who was named after pierre curie, is a noted biochemist.",29.184226882242253,29.98898198266299,35.04493805540866,40.16333177196286
"this stamp remained the standard letter stamp for the remainder of victoria's reign, and vast quantities were printed.","this stamp remained the standard letter stamp for the remainder of victoria's reign, and vast quantities were printed.","This stamp remained the standard letter stamp for the remainder of victoria's reign, and vast quantities were printed.","this stamp stayed the standard letter stamp for the rest of victoria's reign, and many were printed.",55.99269681930973,55.99269681930973,50.69487414732324,48.81010344921758
the international fight league was an american mixed martial arts ( mma ) promotion billed as the world's first mma league.,the international fight league was a professional mma - lrb - mma - rrb - promotion that was owned by world wrestling entertainment.,The international fight league was a professional mma - lrb - mma - rrb - promotion that was owned by world wrestling entertainment.,"the world's first mma league was the international fight league, and american mixed martial arts.",36.348024886058994,36.348024886058994,12.173115521158184,7.7075324887553816
"giardia lamblia ( synonymous with lamblia intestinalis and giardia duodenalis ) is a flagellated protozoan parasite that colonises and reproduces in the small intestine, causing giardiasis.","giardia lamblia - lrb - also called lamblia intestinalis - rrb - is a flagellated protozoan parasite that colonises and reproduces in the small intestine, causing giardiasis.","Giardia lamblia - lrb - also called lamblia intestinalis - rrb - is a flagellated protozoan parasite that colonises and reproduces in the small intestine, causing giardiasis. giardia lamblia.","giardia lamblia is a flagellated protozoan parasite that colonises and reproduces in the small intestine, causing giardiasis.",63.722943722943725,64.60108604845448,58.7329978842779,52.94777602451535
"aside from this, cameron has often worked in christian - themed productions, among them the post - rapture films left behind : the movie, left behind ii : tribulation force, and left behind : world at war, in which he plays cameron "" buck "" williams.","cameron has often worked in christian - themed productions, among them the post - raption films left behind : the movie, left behind ii : tribulation, in which he plays cameron ` ` buck'' williams.","Cameron has often worked in christian - themed productions, among them the post - raption films left behind : the movie, left behind ii : tribulation, in which he plays cameron ` ` buck"" williams. world.","aside from this, cameron usually worked in christian - themed productions, among them the post - rapture films left behind : the movie, left behind ii : tribulation force, and left behind : world at war, in which he plays cameron "" buck "" williams.",23.9683669591609,25.114940560511005,51.23402176581814,55.500103411859676
"this was the area east of the mouth of the vistula river, later sometimes called "" prussia proper "".","this was the area east of the mouth of the vistula river, later sometimes called prussia proper.","This was the area east of the mouth of the vistula river, later sometimes called prussia proper.","this area, which later was sometimes called "" prussia proper "", was east of the place where the vistula river begins.",20.08556383224965,20.08556383224965,13.776250595890922,13.555759440738782
after graduation he returned to yerevan to teach at the local conservatory and later he was appointed artistic director of the armenian philarmonic orchestra.,after graduation he returned to yerevan to teach at the local conservatory and later he became artistic director of the armenian philarmonic orchestra.,After graduation he returned to yerevan to teach at the local conservatory and later he became artistic director of the armenian philarmonic orchestra.,fter graduation he came back to yerevan to teach at the local conservatory and then he was appointed artistic director of the armenian philarmonic orchestra.,31.509062781568403,31.509062781568403,59.88044702245784,59.88044702245784
"the story of christmas is based on the biblical accounts given in the gospel of matthew, namely - and the gospel of luke, specifically -.","the story of christmas is based on the biblical accounts given in the gospel of matthew, namely - lrb - and - rrb - - - gospel of luke.","The story of christmas is based on the biblical accounts given in the gospel of matthew, namely - lrb - and - rrb - - - gospel of luke.","the story of christmas is based on the biblical accounts given in the gospel of matthew, namely - and the gospel of luke, specifically -.",28.47554874562468,28.47554874562468,66.89261952806771,63.45058199878024
weelkes was later to find himself in trouble with the chichester cathedral authorities for his heavy drinking and immoderate behaviour.,weelkes was later to find himself in trouble with the chichester cathedral authorities for his heavy drinking and immoderate behaviour.,Weelkes was later to find himself in trouble with the chichester cathedral authorities for his heavy drinking and immoderate behaviour.,weelkes later found himself in trouble with the chichester cathedral authorities for his heavy drinking and immoderate behavior.,60.12858223355268,60.12858223355268,67.13093593153823,66.12116051683128
"so far the'celebrity'episodes have included vic reeves, nancy sorrell, gaby roslin, scott mills, mark chapman, simon gregson, sue cleaver, carol thatcher, paul o'grady and lee ryan.","so far the celebrity episodes have included vic reeves, nancy sorrell, gaby roslin, mark chapman, simon gregson, sueton, paul o'grady, carol thatcher and lee ryan.","So far the celebrity episodes have included vic reeves, nancy sorrell, gaby roslin, mark chapman, simon gregson, sueton, paul o'grady, carol thatcher and lee ryan. scott mills the'celebrity'episodes.","until now the'celebrity'chapters have shown vic reeves, nancy sorrell, gaby roslin, scott mills, mark chapman, simon gregson, sue cleaver, carol thatcher, paul o'grady and lee ryan.",30.137709937531355,29.2861901086701,52.640345764730775,51.13997936330051
"it was discovered by stephen p. synnott in images from the voyager 1 space probe taken on march 5, 1979 while orbiting around jupiter.",it was found by stephen p. synnott in images from the voyager 1 space probe taken by orbiting around jupiter.,"It was found by stephen p. synnott in images from the voyager 1 space probe taken by orbiting around jupiter. march 5, 1979.","it was found by stephen p. synnott in images from the voyager 1 space probe taken on march 5, 1979 while orbiting around jupiter.",58.5418665522059,59.81000629917038,69.51340858736566,75.39221180326287
"gomaespuma was a spanish radio show, hosted by juan luis cano and guillermo fesser.",gomaespuma was a spanish radio show hosted by juan luis cano and guillermo fesser.,Gomaespuma was a spanish radio show hosted by juan luis cano and guillermo fesser.,gomaespuma was a spanish radio show hosted by juan luis cano and guillermo fesser.,100.0,100.0,100.00000000000004,92.53911813809742
"on 16 june 2009, the official release date of the resistance was announced on the band's website.","on 16 june 2009, the official release of the resistance was announced on the band's website.","On 16 june 2009, the official release of the resistance was announced on the band's website.",on june 16 2009 the official release date of the resistance was announced on the band's website.,33.320667082632255,33.320667082632255,63.28668854426896,62.33473783356552
he is also a member of another jungiery boyband 183 club.,he is also a member of another jungier boyband 183 club.,He is also a member of another jungier boyband 183 club.,"he is also a member of 183 club, which is another jungiery boyband.",39.54781187837453,39.54781187837453,39.57341821670387,31.04578053097406
"in return, rollo swore fealty to charles, converted to christianity, and undertook to defend the northern region of france against the incursions of other viking groups.","rollo swore fealty to charles, converted to christianity, and swore to defend the northern region of france against the incursions of other viking groups.","Rollo swore fealty to charles, converted to christianity, and swore to defend the northern region of france against the incursions of other viking groups.","rollo swore fealty to charles, changed to christianity, and undertook to standby the northern region of france against the incursions of other viking groups.",49.076054066730485,49.076054066730485,72.16597075217096,68.15757064066385
it is derived from voice of america ( voa ) special english.,it is derived from voice of america - lrb - voa - rrb -.,It is derived from voice of america - lrb - voa - rrb -. voa.,it comes from voice of america ( voa ) special english.,13.245920745920747,13.245920745920747,18.92240568795936,15.844501337268932
"disney received a full - size oscar statuette and seven miniature ones, presented to him by 10 - year - old child actress shirley temple.","disney received a full - size oscar statuette and seven miniature ones, presented by 10 - year - old child actress shirley temple.","Disney received a full - size oscar statuette and seven miniature ones, presented by 10 - year - old child actress shirley temple.","disney got a full - size oscar statuette and seven miniature ones, given to him by 10 - year - old child actress shirley temple.",41.513703387286014,41.513703387286014,75.02717245089075,74.19801565519236
it was the first asteroid to be discovered by a spacecraft.,it was the first asteroid to be found by a spacecraft.,It was the first asteroid to be found by a spacecraft.,it was the first asteroid discovered by a spacecraft.,41.943636428930546,41.943636428930546,53.107253497886994,42.40125351805035
"hinterrhein is an administrative district in the canton of graubunden, switzerland.","hinterrhein is a district in the canton of graubunden, switzerland.","Hinterrhein is a district in the canton of graubunden, switzerland.","hinterrhein is an governmental district in the canton of graubunden, switzerland.",56.282418001525556,56.282418001525556,70.76618839098694,67.09489882833027
it continues as the bohemian switzerland in the czech republic.,it continues as the bohemian switzerland in the czech republic.,It continues as the bohemian switzerland in the czech republic.,it is still called as the bohemian switzerland in the czech republic.,63.07000139236981,63.07000139236981,67.28850678464079,65.5392576996041
"this leads to consumer confusion when 220 ( 1, 048, 576 ) bytes is referenced as 1 mb ( megabyte ) instead of 1 mib.","this leads to consumer confusion when 2200, 576, 578 bytes is referenced as 1 mb - lrb - 1 mib - rrb -.","This leads to consumer confusion when 2200, 576, 578 bytes is referenced as 1 mb - lrb - 1 mib - rrb -. 220 048.","the consumer gets confused when 220 bytes is called 1 mb, instead of 1mib.",34.69173441734417,34.93888888888889,4.8589719316429765,4.457304913937111
the incident has been the subject of numerous reports as to ethics in scholarship.,the incident has been the subject of numerous reports as to ethics in scholarship.,The incident has been the subject of numerous reports as to ethics in scholarship.,the incident has been the subject of numerous reports regarding scholarship ethics.,58.11616161616162,58.11616161616162,59.230330720232516,51.53081624347681
they are castrated so that the animal may be more docile or may put on weight more quickly.,they are castrated so that the animal may be more docile or may put on weight more quickly.,They are castrated so that the animal may be more docile or may put on weight more quickly.,they are castrated so that the animal is docile or may put on weight quickly.,58.51365220930439,58.51365220930439,59.08871032231054,53.09354663044073
"seventh sons have strong "" knacks "" ( specific magical abilities ), and seventh sons of seventh sons are both extraordinarily rare and powerful.","seventh sons have strong magical abilities, and seventh sons of seventh sons are both extraordinarily rare.","Seventh sons have strong magical abilities, and seventh sons of seventh sons are both extraordinarily rare. knacks.","seventh sons have strong "" knacks "" ( specific magical abilities ), and he is extraordinarily rare and powerful.",11.757228740544,12.083704646679454,17.42921800512336,12.617829228958103
"benchmarking conducted by passmark software highlights the 2009 version's 52 second install time, 32 second scan time, and 7 mb memory utilization.","benchmarking conducted by passmark software highlights the 2009 version's 52 second install time, 32 second scan time, and 7 mb memory utilization.","Benchmarking conducted by passmark software highlights the 2009 version's 52 second install time, 32 second scan time, and 7 mb memory utilization.","passmark software tested standards of 2009 version and the highlights are 52 second install time, 32 second scan time and 7mb memory utilization.",53.318606659482924,53.318606659482924,42.06308920964751,42.06308920964751
volterra is a town in the tuscany region of italy.,volterra is a town in the tuscany region of italy.,Volterra is a town in the tuscany region of italy.,volterra is a town in the tuscany area of italy.,60.899470899470906,60.899470899470906,70.16879391277372,58.77283725105324
"historically, the sensations of itch and pain have not been considered to be independent of each other until recently, where it was found that itch has several features in common with pain, but exhibits notable differences.","the sensations of itch and pain have been considered to be independent of each other, where itch has several features in common with pain.","The sensations of itch and pain have been considered to be independent of each other, where itch has several features in common with pain. differences.","historically, the sensations of itch and pain have not been considered to be independent of each other until recently, where it was found that itch has several features in common with pain, but exhibits notable differences.",30.459001782531196,30.78735875573769,45.27708060698233,45.16780645552478
"the tongue is sticky because of the presence of glycoprotein - rich mucous, which both lubricates movement in and out of the snout and helps to catch ants and termites, which adhere to it.","the tongue is sticky because of the presence of glycoprotein - rich mucous, which both lubricates movement in and out of the snout and helps to catch ants and termites.","The tongue is sticky because of the presence of glycoprotein - rich mucous, which both lubricates movement in and out of the snout and helps to catch ants and termites.","the tongue is sticky because of the presence of glycoprotein - rich mucous, which both oils movement in and out of the beak and helps to catch ants and termites, which sticks to it.",42.524841479908666,42.524841479908666,68.68262173851575,65.84341203116107
the same tram had derailed on 30 may 2006 at starr gate loop during previous trials.,the same tram had derailed on 30 may 2006 at starr gate loop.,The same tram had derailed on 30 may 2006 at starr gate loop.,the same team had derailed on 30 may 2006 at starr gate loop during previous trials.,24.98513563730955,24.98513563730955,59.88367045905582,57.171358574039225
